Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-npnb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,target,A,B,C,E,F,ShowProgressBar,D
1,1618810403045,19/04/2021 05:33:23,1618810402366,2,19/04/2021 07:33:22,49896,5,task-mowt,,12001780,2t8nbtnp,3631203,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x960,1398x795,,,,Baseline - ICARRavensMatrix,1,BCA,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1618810416298,19/04/2021 05:33:36,1618810415697,2,19/04/2021 07:33:35,49896,5,task-mowt,,12001780,2t8nbtnp,3631203,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x960,1398x795,,,,Baseline - ICARRavensMatrix,1,BCA,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,12442,,,,0,,,,,,,,instructions,D,ICAR43.png,ICAR43_A.png,ICAR43_B.png,ICAR43_C.png,ICAR43_E.png,ICAR43_F.png,,ICAR43_D.png
3,1618810416732,19/04/2021 05:33:36,1618810416135,2,19/04/2021 07:33:36,49896,5,task-mowt,,12001780,2t8nbtnp,3631203,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x960,1398x795,,,,Baseline - ICARRavensMatrix,1,BCA,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,fixation,fixation,450.380000000001,,,,0,,,,,,,,instructions,D,ICAR43.png,ICAR43_A.png,ICAR43_B.png,ICAR43_C.png,ICAR43_E.png,ICAR43_F.png,,ICAR43_D.png
4,1618810430703,19/04/2021 05:33:50,1618810429984,2,19/04/2021 07:33:49,49896,5,task-mowt,,12001780,2t8nbtnp,3631203,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x960,1398x795,,,,Baseline - ICARRavensMatrix,1,BCA,Spreadsheet1,Spreadsheet1,1,1,3,Screen 3,buttonD,response_button_image,13836,,,ICAR43_D.png,1,,,,,,,,instructions,D,ICAR43.png,ICAR43_A.png,ICAR43_B.png,ICAR43_C.png,ICAR43_E.png,ICAR43_F.png,,ICAR43_D.png
5,1618810431015,19/04/2021 05:33:51,1618810430432,2,19/04/2021 07:33:50,49896,5,task-mowt,,12001780,2t8nbtnp,3631203,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x960,1398x795,,,,Baseline - ICARRavensMatrix,1,BCA,Spreadsheet1,Spreadsheet1,1,1,4,Screen 4,fixation,fixation,450.380000000001,,,,0,,,,,,,,instructions,D,ICAR43.png,ICAR43_A.png,ICAR43_B.png,ICAR43_C.png,ICAR43_E.png,ICAR43_F.png,,ICAR43_D.png
6,1618810434068,19/04/2021 05:33:54,1618810433473,2,19/04/2021 07:33:53,49896,5,task-mowt,,12001780,2t8nbtnp,3631203,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x960,1398x795,,,,Baseline - ICARRavensMatrix,1,BCA,Spreadsheet1,Spreadsheet1,1,1,5,Screen 5,advancementZone,continue_button,3037,,,,0,,,,,,,,instructions,D,ICAR43.png,ICAR43_A.png,ICAR43_B.png,ICAR43_C.png,ICAR43_E.png,ICAR43_F.png,,ICAR43_D.png
7,1618810467746,19/04/2021 05:34:27,1618810467162,2,19/04/2021 07:34:27,49896,5,task-mowt,,12001780,2t8nbtnp,3631203,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x960,1398x795,,,,Baseline - ICARRavensMatrix,1,BCA,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,buttonC,response_button_image,33668,,,ICAR44_C.png,1,,,,,,,,matrices,C,ICAR44.png,ICAR44_A.png,ICAR44_B.png,ICAR44_C.png,ICAR44_E.png,ICAR44_F.png,1,ICAR44_D.png
8,1618810468214,19/04/2021 05:34:28,1618810467612,2,19/04/2021 07:34:27,49896,5,task-mowt,,12001780,2t8nbtnp,3631203,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x960,1398x795,,,,Baseline - ICARRavensMatrix,1,BCA,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,fixation,fixation,450.3600000000006,,,,0,,,,,,,,matrices,C,ICAR44.png,ICAR44_A.png,ICAR44_B.png,ICAR44_C.png,ICAR44_E.png,ICAR44_F.png,1,ICAR44_D.png
9,1618810494744,19/04/2021 05:34:54,1618810494143,2,19/04/2021 07:34:54,49896,5,task-mowt,,12001780,2t8nbtnp,3631203,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x960,1398x795,,,,Baseline - ICARRavensMatrix,1,BCA,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone1,response_button_image,26510,,,ICAR45_E.png,1,,,,,,,,matrices,E,ICAR45.png,ICAR45_A.png,ICAR45_B.png,ICAR45_C.png,ICAR45_E.png,ICAR45_F.png,1,ICAR45_D.png
10,1618810495170,19/04/2021 05:34:55,1618810494584,2,19/04/2021 07:34:54,49896,5,task-mowt,,12001780,2t8nbtnp,3631203,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 87.0,1536x960,1398x795,,,,Baseline - ICARRavensMatrix,1,BCA,Spreadsheet1,Spreadsheet1,3,2,2,Screen 2,fixation,fixation,450.3600000000006,,,,0,,,,,,,,matrices,E,ICAR45.png,ICAR45_A.png,ICAR45_B.png,ICAR45_C.png,ICAR45_E.png,ICAR45_F.png,1,ICAR45_D.png
