Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-npnb,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,target,A,B,C,E,F,ShowProgressBar,D
1,1621239963582,17/05/2021 08:26:03,1621239963333,10,17/05/2021 18:26:03,52673,2,task-mowt,,12724070,601a0607d4210b1f3581586a,3840603,,complete,,60a2273ff17a9a3711c91492,computer,Desktop or Laptop,Mac OS 10.11.6,Safari 11.1.2,1440x900,1440x900,,Baseline - ICARRavensMatrix,2,ABC,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
2,1621239979472,17/05/2021 08:26:19,1621239979285,10,17/05/2021 18:26:19,52673,2,task-mowt,,12724070,601a0607d4210b1f3581586a,3840603,,complete,,60a2273ff17a9a3711c91492,computer,Desktop or Laptop,Mac OS 10.11.6,Safari 11.1.2,1440x900,1440x900,,Baseline - ICARRavensMatrix,2,ABC,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,13688,,,,,0,1,0,,,,,,instructions,D,ICAR43.png,ICAR43_A.png,ICAR43_B.png,ICAR43_C.png,ICAR43_E.png,ICAR43_F.png,,ICAR43_D.png
3,1621239979893,17/05/2021 08:26:19,1621239979718,10,17/05/2021 18:26:19,52673,2,task-mowt,,12724070,601a0607d4210b1f3581586a,3840603,,complete,,60a2273ff17a9a3711c91492,computer,Desktop or Laptop,Mac OS 10.11.6,Safari 11.1.2,1440x900,1440x900,,Baseline - ICARRavensMatrix,2,ABC,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,fixation,fixation,450,,,,,0,1,0,,,,,,instructions,D,ICAR43.png,ICAR43_A.png,ICAR43_B.png,ICAR43_C.png,ICAR43_E.png,ICAR43_F.png,,ICAR43_D.png
4,1621240024010,17/05/2021 08:27:04,1621240023821,10,17/05/2021 18:27:03,52673,2,task-mowt,,12724070,601a0607d4210b1f3581586a,3840603,,complete,,60a2273ff17a9a3711c91492,computer,Desktop or Laptop,Mac OS 10.11.6,Safari 11.1.2,1440x900,1440x900,,Baseline - ICARRavensMatrix,2,ABC,Spreadsheet1,Spreadsheet1,1,1,3,Screen 3,buttonA,response_button_image,44086.00000000001,,,ICAR43_A.png,1,0,1,0,,,,,,instructions,D,ICAR43.png,ICAR43_A.png,ICAR43_B.png,ICAR43_C.png,ICAR43_E.png,ICAR43_F.png,,ICAR43_D.png
5,1621240024427,17/05/2021 08:27:04,1621240024254,10,17/05/2021 18:27:04,52673,2,task-mowt,,12724070,601a0607d4210b1f3581586a,3840603,,complete,,60a2273ff17a9a3711c91492,computer,Desktop or Laptop,Mac OS 10.11.6,Safari 11.1.2,1440x900,1440x900,,Baseline - ICARRavensMatrix,2,ABC,Spreadsheet1,Spreadsheet1,1,1,4,Screen 4,fixation,fixation,450,,,,,0,1,0,,,,,,instructions,D,ICAR43.png,ICAR43_A.png,ICAR43_B.png,ICAR43_C.png,ICAR43_E.png,ICAR43_F.png,,ICAR43_D.png
6,1621240027370,17/05/2021 08:27:07,1621240027068,10,17/05/2021 18:27:07,52673,2,task-mowt,,12724070,601a0607d4210b1f3581586a,3840603,,complete,,60a2273ff17a9a3711c91492,computer,Desktop or Laptop,Mac OS 10.11.6,Safari 11.1.2,1440x900,1440x900,,Baseline - ICARRavensMatrix,2,ABC,Spreadsheet1,Spreadsheet1,1,1,5,Screen 5,advancementZone,continue_button,2807,,,,,0,1,0,,,,,,instructions,D,ICAR43.png,ICAR43_A.png,ICAR43_B.png,ICAR43_C.png,ICAR43_E.png,ICAR43_F.png,,ICAR43_D.png
7,1621240051291,17/05/2021 08:27:31,1621240051099,10,17/05/2021 18:27:31,52673,2,task-mowt,,12724070,601a0607d4210b1f3581586a,3840603,,complete,,60a2273ff17a9a3711c91492,computer,Desktop or Laptop,Mac OS 10.11.6,Safari 11.1.2,1440x900,1440x900,,Baseline - ICARRavensMatrix,2,ABC,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,buttonC,response_button_image,24008,,,ICAR44_C.png,1,0,1,0,,,,,,matrices,C,ICAR44.png,ICAR44_A.png,ICAR44_B.png,ICAR44_C.png,ICAR44_E.png,ICAR44_F.png,1,ICAR44_D.png
8,1621240051751,17/05/2021 08:27:31,1621240051541,10,17/05/2021 18:27:31,52673,2,task-mowt,,12724070,601a0607d4210b1f3581586a,3840603,,complete,,60a2273ff17a9a3711c91492,computer,Desktop or Laptop,Mac OS 10.11.6,Safari 11.1.2,1440x900,1440x900,,Baseline - ICARRavensMatrix,2,ABC,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,fixation,fixation,451,,,,,0,1,0,,,,,,matrices,C,ICAR44.png,ICAR44_A.png,ICAR44_B.png,ICAR44_C.png,ICAR44_E.png,ICAR44_F.png,1,ICAR44_D.png
9,1621240071745,17/05/2021 08:27:51,1621240071558,10,17/05/2021 18:27:51,52673,2,task-mowt,,12724070,601a0607d4210b1f3581586a,3840603,,complete,,60a2273ff17a9a3711c91492,computer,Desktop or Laptop,Mac OS 10.11.6,Safari 11.1.2,1440x900,1440x900,,Baseline - ICARRavensMatrix,2,ABC,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone1,response_button_image,19995.000000000015,,,ICAR45_E.png,1,0,1,0,,,,,,matrices,E,ICAR45.png,ICAR45_A.png,ICAR45_B.png,ICAR45_C.png,ICAR45_E.png,ICAR45_F.png,1,ICAR45_D.png
10,1621240072174,17/05/2021 08:27:52,1621240071992,10,17/05/2021 18:27:51,52673,2,task-mowt,,12724070,601a0607d4210b1f3581586a,3840603,,complete,,60a2273ff17a9a3711c91492,computer,Desktop or Laptop,Mac OS 10.11.6,Safari 11.1.2,1440x900,1440x900,,Baseline - ICARRavensMatrix,2,ABC,Spreadsheet1,Spreadsheet1,3,2,2,Screen 2,fixation,fixation,449.99999999998545,,,,,0,1,0,,,,,,matrices,E,ICAR45.png,ICAR45_A.png,ICAR45_B.png,ICAR45_C.png,ICAR45_E.png,ICAR45_F.png,1,ICAR45_D.png
